,datetime,open,high,low,close,volume
0,2017-08-17 04:00:00.000,4261.48,4280.56,4261.32,4261.45,11.308926
1,2017-08-17 04:30:00.000,4280.0,4313.62,4267.99,4308.83,35.872083
2,2017-08-17 05:00:00.000,4308.83,4328.69,4304.31,4320.0,21.048648
3,2017-08-17 05:30:00.000,4320.0,4320.0,4291.37,4315.32,2.186268
4,2017-08-17 06:00:00.000,4330.29,4330.29,4309.37,4311.02,3.566277
5,2017-08-17 06:30:00.000,4328.65,4345.45,4319.83,4324.35,3.663414
6,2017-08-17 07:00:00.000,4316.62,4316.62,4291.38,4291.38,0.040459
7,2017-08-17 07:30:00.000,4291.39,4349.99,4287.41,4349.99,4.40279
8,2017-08-17 08:00:00.000,4333.32,4377.85,4333.32,4360.7,0.84226
9,2017-08-17 08:30:00.000,4360.7,4360.7,4360.0,4360.69,0.130547
10,2017-08-17 09:00:00.000,4360.0,4360.0,4360.0,4360.0,2.295001
11,2017-08-17 09:30:00.000,4360.0,4445.78,4360.0,4444.0,8.468622
12,2017-08-17 10:00:00.000,4441.1,4443.0,4399.81,4440.0,5.274331
13,2017-08-17 10:30:00.000,4400.0,4470.0,4400.0,4460.0,19.591068
14,2017-08-17 11:00:00.000,4460.0,4485.39,4454.72,4485.39,24.929329
15,2017-08-17 11:30:00.000,4485.39,4485.39,4427.3,4427.3,2.088724
16,2017-08-17 12:00:00.000,4436.06,4449.56,4418.12,4418.12,21.095547
17,2017-08-17 12:30:00.000,4417.0,4431.13,4411.0,4411.0,1.936851
18,2017-08-17 13:00:00.000,4411.0,4445.88,4411.0,4440.0,3.718318
19,2017-08-17 13:30:00.000,4435.12,4459.0,4425.21,4459.0,27.594118
20,2017-08-17 14:00:00.000,4459.0,4469.46,4435.93,4467.81,21.648809
21,2017-08-17 14:30:00.000,4467.81,4485.39,4452.57,4470.82,30.087088
22,2017-08-17 15:00:00.000,4470.82,4470.82,4412.1,4432.2,22.594839
23,2017-08-17 15:30:00.000,4432.2,4444.9,4333.42,4352.34,45.886431
24,2017-08-17 16:00:00.000,4352.33,4354.35,4255.3,4290.17,53.209948
25,2017-08-17 16:30:00.000,4290.17,4354.18,4290.17,4354.18,14.248843
26,2017-08-17 17:00:00.000,4354.18,4354.84,4301.5,4335.28,21.401496
27,2017-08-17 17:30:00.000,4335.28,4354.84,4235.45,4289.24,38.263416
28,2017-08-17 18:00:00.000,4289.24,4302.45,4218.68,4287.69,24.946195
29,2017-08-17 18:30:00.000,4287.69,4302.45,4222.97,4256.97,26.328968
30,2017-08-17 19:00:00.000,4241.91,4302.44,4200.74,4287.61,33.16595
31,2017-08-17 19:30:00.000,4287.61,4335.3,4287.61,4325.23,13.5449
32,2017-08-17 20:00:00.000,4307.56,4325.23,4261.0,4273.16,26.16558
33,2017-08-17 20:30:00.000,4258.56,4354.84,4258.56,4346.74,22.809892
34,2017-08-17 21:00:00.000,4346.74,4369.69,4315.85,4349.33,29.292665
35,2017-08-17 21:30:00.000,4349.33,4369.69,4309.23,4333.55,32.480371
36,2017-08-17 22:00:00.000,4333.55,4349.63,4310.0,4326.29,26.241174
37,2017-08-17 22:30:00.000,4326.28,4359.13,4319.11,4336.8,31.134968
38,2017-08-17 23:00:00.000,4313.39,4337.38,4300.0,4327.89,39.337249
39,2017-08-17 23:30:00.000,4327.89,4332.26,4280.82,4285.08,42.308014
